X,Y,
,,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
1,0,
1,0,
2,1,
2,0,
3,0,
3,0,
3,0,
4,0,
4,0,
4,0,
4,0,
5,0,
5,0,
5,1,
5,1,
4,2,
3,3,
2,2,
2,2,
2,2,
3,3,
2,4,
1,5,
1,5,
0,4,
0,3,
0,2,
1,1,
0,0,
0,0,
1,1,
1,1,
2,1,
1,2,
2,1,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
2,1,
2,0,
2,0,
3,1,
2,1,
2,2,
3,1,
4,2,
4,2,
4,3,
3,3,
2,2,
3,3,
2,3,
3,3,
4,2,
3,3,
2,3,
2,3,
1,2,
2,1,
1,0,
2,0,
1,1,
0,2,
0,3,
0,2,
1,2,
0,3,
0,3,
0,3,
1,2,
2,2,
1,1,
2,1,
2,1,
1,1,
1,0,
1,0,
1,1,
0,0,
1,0,
1,0,
1,0,
1,1,
1,0,
2,1,
3,1,
4,0,
4,0,
5,1,
5,0,
5,0,
5,0,
5,1,
4,0,
4,0,
3,0,
3,0,
3,0,
4,0,
5,0,
5,0,
4,0,
5,1,
5,1,
4,0,
3,1,
4,0,
4,0,
4,0,
5,0,
5,0,
5,0,
5,1,
4,0,
4,0,
3,0,
3,0,
2,1,
1,2,
1,2,
1,1,
2,0,
1,1,
1,0,
2,0,
1,1,
2,0,
3,0,
4,0,
4,0,
3,1,
4,0,
4,0,
3,1,
2,1,
2,1,
1,0,
1,0,
2,1,
1,0,
1,0,
1,0,
1,0,
1,1,
2,0,
2,0,
1,1,
0,0,
0,0,
1,1,
0,0,
0,0,
1,0,
1,0,
1,0,
2,0,
1,0,
1,1,
2,2,
3,1,
2,0,
2,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,1,
2,2,
1,2,
2,3,
2,3,
2,3,
1,2,
2,3,
2,2,
3,1,
4,0,
4,0,
4,0,
4,0,
3,1,
2,0,
3,1,
4,0,
4,0,
4,0,
5,0,
5,0,
5,0,
5,0,
5,0,
4,0,
4,0,
3,0,
3,0,
3,0,
3,0,
2,0,
1,1,
2,2,
1,2,
1,2,
1,2,
0,3,
0,3,
0,3,
1,2,
2,1,
1,2,
0,3,
0,3,
0,4,
0,4,
0,4,
0,4,
0,5,
0,4,
0,4,
0,4,
0,4,
0,4,
0,4,
0,4,
1,5,
2,6,
1,5,
1,5,
2,5,
2,5,
3,6,
3,7,
2,8,
1,7,
0,6,
0,6,
0,6,
0,6,
1,7,
1,7,
0,6,
0,6,
1,6,
2,5,
2,4,
3,3,
4,3,
4,2,
4,2,
5,2,
4,2,
4,3,
4,3,
4,4,
3,5,
4,4,
3,5,
4,6,
3,5,
3,6,
4,5,
4,4,
4,4,
5,5,
4,4,
4,5,
4,4,
4,4,
4,4,
5,5,
4,5,
3,5,
4,5,
3,5,
3,5,
3,6,
2,7,
2,8,
3,7,
3,7,
4,8,
4,9,
4,9,
4,9,
4,8,
3,9,
4,9,
4,9,
4,9,
4,10,
3,11,
2,11,
2,12,
3,13,
3,13,
2,13,
3,12,
3,13,
2,13,
1,13,
2,14,
2,15,
1,14,
2,15,
3,15,
4,15,
4,15,
5,14,
4,14,
4,14,
4,15,
5,14,
5,14,
5,14,
5,13,
4,14,
4,15,
4,15,
4,15,
4,15,
4,15,
3,15,
4,15,
4,15,
3,15,
2,15,
2,16,
2,16,
2,17,
3,18,
2,17,
2,17,
2,18,
3,18,
4,18,
3,17,
3,18,
3,18,
2,17,
3,17,
4,18,
3,19,
2,20,
1,20,
1,20,
2,20,
3,21,
4,21,
3,21,
4,21,
4,21,
4,21,
5,20,
4,21,
4,20,
5,20,
6,20,
6,20,
5,20,
4,21,
4,21,
4,22,
4,22,
4,22,
5,23,
5,23,
5,23,
4,22,
3,23,
4,22,
4,22,
3,21,
2,20,
3,19,
4,18,
4,17,
3,17,
4,17,
3,18,
2,19,
2,19,
2,20,
3,21,
4,22,
4,22,
4,23,
4,23,
4,23,
4,22,
3,21,
3,21,
2,20,
3,19,
2,18,
1,18,
1,18,
2,17,
1,17,
1,17,
0,16,
0,15,
0,15,
0,15,
0,15,
0,14,
0,14,
0,14,
0,14,
1,14,
0,13,
1,13,
2,14,
2,14,
2,15,
2,15,
2,15,
2,16,
2,17,
1,18,
0,18,
0,17,
1,17,
0,18,
0,18,
1,19,
0,20,
