X,Y,
,,
3,0,
3,0,
3,1,
2,2,
1,1,
1,2,
2,3,
2,2,
2,2,
2,1,
2,0,
1,1,
1,2,
1,2,
1,2,
2,1,
1,1,
1,2,
0,2,
1,2,
0,3,
0,4,
0,4,
1,5,
0,6,
1,5,
2,6,
1,5,
0,4,
1,5,
0,5,
0,6,
1,7,
1,7,
1,8,
2,7,
2,8,
2,8,
2,7,
1,7,
2,6,
3,7,
4,8,
4,8,
4,9,
4,9,
4,9,
4,9,
5,8,
6,9,
6,9,
6,9,
6,9,
7,10,
7,10,
7,10,
7,10,
7,10,
7,10,
7,10,
7,10,
6,10,
6,11,
3,11,
,,
3,0,
3,0,
3,0,
2,0,
1,1,
1,2,
1,2,
0,3,
0,3,
0,4,
0,5,
0,6,
1,7,
1,8,
2,9,
2,9,
3,9,
4,9,
4,9,
4,9,
4,10,
3,11,
2,11,
2,11,
1,11,
0,11,
0,11,
0,11,
0,11,
1,11,
3,11,
,,
3,0,
4,0,
4,0,
5,0,
5,0,
5,0,
4,0,
4,0,
3,0,
2,1,
1,2,
0,2,
0,2,
0,2,
0,2,
0,2,
0,2,
1,1,
2,1,
2,1,
3,1,
4,0,
4,0,
4,0,
3,0,
2,0,
1,1,
1,2,
2,3,
2,4,
1,5,
1,6,
2,7,
2,8,
2,9,
2,9,
2,10,
2,11,
3,11,
,,
3,0,
2,1,
1,2,
1,2,
0,3,
0,3,
0,4,
0,5,
0,6,
1,7,
2,8,
2,9,
2,9,
2,10,
2,11,
3,11,
,,
3,0,
2,0,
1,0,
1,0,
0,0,
0,0,
0,0,
1,1,
2,2,
2,3,
2,4,
1,5,
1,6,
1,7,
2,8,
2,9,
2,9,
2,10,
2,11,
3,11,
