X,Y,
,,
7,1,
7,1,
7,1,
7,2,
7,2,
7,2,
7,2,
7,1,
7,2,
6,3,
7,4,
7,5,
7,5,
7,5,
0,0,
,,
7,1,
7,1,
6,2,
5,2,
5,2,
4,2,
4,2,
3,1,
2,0,
2,0,
2,0,
2,0,
2,0,
1,1,
1,1,
0,2,
0,2,
0,2,
0,2,
0,2,
0,2,
0,3,
0,3,
0,4,
0,5,
0,0,
,,
7,1,
6,2,
5,2,
5,2,
4,2,
4,2,
3,1,
2,0,
2,0,
1,1,
1,1,
0,2,
0,2,
0,2,
0,2,
0,2,
0,2,
0,2,
0,2,
1,2,
2,1,
2,0,
2,0,
2,0,
2,0,
1,1,
1,1,
0,2,
0,2,
0,2,
0,3,
0,3,
0,4,
0,5,
0,0,
,,
7,1,
7,1,
7,1,
7,1,
6,2,
6,3,
7,4,
7,4,
7,5,
0,0,
,,
7,1,
7,1,
7,2,
7,2,
7,2,
6,3,
6,3,
7,4,
7,5,
0,0,
