X,Y,
,,
7,1,
7,1,
7,1,
7,1,
7,1,
7,1,
6,2,
6,2,
6,3,
7,4,
6,5,
5,6,
5,5,
6,4,
5,5,
6,6,
6,5,
6,5,
5,5,
6,4,
7,4,
6,3,
6,3,
7,2,
6,3,
6,2,
6,2,
5,1,
5,1,
5,2,
5,2,
6,2,
6,2,
6,2,
6,2,
7,1,
7,1,
7,1,
7,1,
7,1,
7,1,
7,1,
7,1,
7,1,
7,1,
7,1,
7,1,
7,1,
7,1,
7,2,
6,2,
5,2,
5,2,
5,1,
5,2,
4,3,
4,3,
4,4,
4,4,
5,5,
4,5,
3,5,
2,5,
1,5,
0,4,
0,4,
0,4,
1,5,
2,6,
3,6,
4,5,
4,6,
5,7,
5,8,
5,8,
6,9,
6,10,
6,10,
6,10,
6,10,
6,10,
6,10,
7,10,
7,10,
6,10,
7,10,
7,10,
6,11,
6,11,
6,11,
6,11,
7,10,
7,10,
6,11,
3,11,
,,
7,1,
7,1,
7,2,
7,2,
6,3,
6,3,
6,4,
7,5,
7,6,
7,7,
6,8,
6,8,
6,9,
6,10,
6,10,
5,11,
3,11,
,,
7,1,
6,2,
6,3,
6,3,
6,4,
7,5,
7,6,
7,7,
7,8,
6,9,
6,9,
6,10,
6,11,
3,11,
,,
7,1,
7,1,
7,1,
7,2,
7,2,
7,2,
7,2,
6,3,
6,3,
6,4,
7,5,
7,6,
7,7,
7,8,
6,9,
6,10,
6,11,
3,11,
,,
7,1,
6,2,
6,3,
6,3,
6,4,
7,5,
7,6,
7,7,
7,8,
6,9,
6,10,
6,11,
6,11,
6,11,
6,11,
7,11,
7,11,
7,11,
7,11,
6,11,
6,11,
5,11,
4,11,
3,11,
2,10,
2,9,
2,9,
2,8,
1,7,
1,6,
0,5,
0,5,
0,5,
0,5,
1,6,
1,7,
2,8,
2,9,
2,9,
2,10,
2,11,
3,11,
