X,Y,
,,
0,2,
0,2,
0,2,
0,2,
0,2,
1,2,
0,3,
0,2,
0,3,
0,3,
0,3,
0,2,
1,1,
0,2,
0,2,
0,2,
0,2,
0,2,
1,1,
2,1,
1,0,
2,0,
3,0,
4,0,
5,0,
5,0,
5,0,
5,0,
5,0,
5,0,
5,0,
5,1,
5,0,
5,0,
5,0,
5,0,
5,0,
5,0,
5,0,
5,0,
5,0,
4,0,
4,0,
4,0,
4,0,
4,0,
5,1,
5,1,
4,0,
4,0,
4,0,
4,0,
4,0,
4,0,
4,0,
4,0,
4,0,
3,1,
3,1,
3,1,
3,1,
4,2,
4,2,
3,1,
2,2,
3,1,
4,2,
4,2,
5,2,
5,2,
5,2,
6,3,
6,4,
6,4,
7,5,
7,6,
6,5,
5,6,
5,6,
4,5,
3,5,
4,5,
4,5,
3,5,
4,5,
5,5,
4,6,
3,5,
2,5,
2,5,
2,5,
3,6,
2,7,
2,8,
1,7,
1,8,
0,9,
1,8,
0,8,
0,9,
0,9,
0,9,
0,9,
0,9,
1,8,
2,9,
3,9,
2,9,
2,9,
2,9,
2,9,
2,9,
2,8,
2,8,
3,9,
2,10,
3,11,
4,10,
3,11,
3,11,
3,11,
,,
0,2,
0,2,
1,2,
2,3,
2,4,
2,5,
2,6,
2,7,
2,7,
2,8,
2,8,
2,9,
2,9,
3,9,
4,10,
5,11,
3,11,
,,
0,2,
0,2,
0,2,
1,2,
2,3,
2,4,
2,5,
2,6,
3,7,
3,7,
3,7,
4,8,
4,8,
3,9,
3,9,
2,10,
1,11,
3,11,
,,
0,2,
1,2,
2,3,
2,4,
2,5,
2,6,
2,7,
1,8,
1,8,
0,9,
0,9,
0,10,
0,11,
3,11,
,,
0,2,
0,2,
0,2,
0,2,
0,2,
0,2,
0,2,
0,3,
0,3,
0,4,
0,5,
0,6,
1,7,
2,8,
2,9,
2,10,
2,10,
3,11,
3,11,
3,11,
