X,Y,
,,
0,2,
0,2,
0,2,
0,2,
0,3,
0,3,
0,3,
0,3,
0,2,
0,2,
0,3,
0,3,
0,3,
0,3,
0,3,
0,3,
0,3,
0,3,
0,3,
0,2,
0,2,
1,2,
1,2,
1,2,
2,2,
2,1,
3,0,
3,1,
3,1,
2,2,
2,1,
2,0,
2,0,
2,0,
1,1,
2,0,
3,0,
2,1,
2,1,
2,1,
1,1,
1,1,
1,1,
0,0,
0,0,
0,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,1,
1,1,
2,0,
3,1,
2,1,
2,2,
1,2,
0,3,
0,2,
0,2,
0,2,
0,2,
0,2,
1,1,
0,0,
0,0,
1,0,
1,0,
1,1,
0,0,
1,0,
1,0,
1,0,
2,0,
3,0,
2,0,
2,0,
1,1,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
1,1,
2,2,
2,2,
3,1,
3,0,
3,1,
3,1,
3,0,
2,1,
2,0,
2,0,
2,0,
1,1,
1,1,
2,0,
2,0,
3,0,
3,0,
3,0,
2,0,
3,0,
4,0,
4,0,
4,0,
3,0,
3,0,
3,0,
3,0,
2,0,
2,0,
2,0,
2,1,
2,1,
2,2,
2,2,
1,1,
2,2,
2,2,
1,2,
2,3,
2,3,
2,3,
3,3,
2,4,
2,4,
2,4,
3,3,
3,3,
2,3,
2,2,
1,2,
1,2,
2,2,
2,1,
1,2,
0,3,
0,3,
0,3,
0,3,
0,3,
0,4,
0,3,
0,4,
0,4,
0,4,
0,5,
0,5,
0,5,
1,6,
2,7,
1,8,
2,8,
2,7,
1,6,
2,6,
2,5,
2,5,
2,5,
1,6,
2,7,
2,7,
1,6,
1,7,
1,8,
0,8,
0,8,
0,9,
0,9,
0,9,
0,9,
0,10,
0,10,
0,11,
1,11,
0,10,
0,10,
0,10,
0,10,
0,10,
0,11,
0,10,
0,10,
1,11,
2,11,
1,11,
2,11,
3,11,
4,10,
3,11,
2,11,
3,11,
3,11,
4,10,
4,10,
5,11,
3,11,
,,
0,2,
0,2,
0,3,
0,3,
0,4,
0,5,
0,6,
1,7,
2,8,
3,9,
3,9,
4,10,
5,11,
5,11,
5,11,
4,11,
4,11,
3,11,
2,10,
2,10,
2,9,
2,9,
3,9,
4,10,
4,11,
3,11,
,,
0,2,
0,2,
0,2,
1,1,
2,1,
3,0,
3,0,
3,0,
3,0,
3,0,
2,0,
1,0,
1,0,
0,0,
0,0,
0,0,
0,0,
1,0,
2,1,
2,2,
2,2,
2,3,
2,4,
2,5,
2,6,
2,7,
1,8,
1,8,
0,9,
0,9,
0,10,
0,11,
3,11,
,,
0,2,
1,2,
2,3,
2,4,
1,5,
1,6,
1,7,
2,8,
2,9,
2,9,
2,10,
2,11,
3,11,
,,
0,2,
0,2,
0,3,
0,3,
0,4,
0,5,
0,6,
1,7,
2,8,
2,9,
2,9,
2,10,
2,11,
3,11,
