
>>> Values:
 Random Seed Value = 25264
 Number of Physical Paths = 5
 Number of Learning Paths per Physical Path = 1
 Method = 5
 Number of Lookahead Levels = 1
 Path-File Mode = 3
 Step-Size Parameter ALPHA = 0.100000
 Discount Rate GAMMA = 0.900000
 Lookahead Weight Factor LAMBDA = 0.500000
 Q-value Weight Factor w1 = 0.800000
 Distance-to-Goal Weight Factor w2 = 0.500000
 Initial Full Exploration is OFF
 Visited-Number Weight factor w3 = 0.500000
 TAW has greedy-mode value = 1
 Star is 1 at location [0, 0]
 Goal is H

>>> Input Maze:
 O  O  O  O  O  O  O  B 
 O  O  O  O  B  O  O  O 
 O  O  O  B  O  O  O  O 
 O  B  O  O  O  B  O  O 
 O  B  O  B  O  B  O  O 
 O  O  O  O  O  O  O  B 
 O  O  O  O  O  O  B  B 
 B  O  O  O  B  O  B  J 
 O  O  O  B  O  O  O  O 
 O  B  O  O  O  B  O  B 
 O  B  O  B  O  B  O  X 
 O  E  O  W  O  O  H  B 


>>> Agent Physical Path 1:
 Step  46: Agent moved DOWN_LEFT to location [x=1,y=7], randomly.
 Step  47: Agent moved DOWN_LEFT to location [x=0,y=8], randomly.
 Step  48: Agent moved RIGHT to location [x=1,y=8], randomly.
 Step  49: Agent moved DOWN_RIGHT to location [x=2,y=9], randomly.
 Step  50: Agent moved UP_LEFT to location [x=1,y=8], randomly.
 Step  51: Agent moved    UP to location [x=1,y=7], randomly.
 Step  52: Agent moved    UP to location [x=1,y=6], randomly.
 Step  53: Agent moved  DOWN to location [x=1,y=7], randomly.
 Step  54: Agent moved DOWN_LEFT to location [x=0,y=8], randomly.
 Step  55: Agent moved RIGHT to location [x=1,y=8], randomly.
 Step  56: Agent moved DOWN_LEFT to location [x=0,y=9], randomly.
 Step  57: Agent moved  DOWN to location [x=0,y=10], randomly.
 Step  58: Agent moved    UP to location [x=0,y=9], randomly.
 Step  59: Agent moved UP_RIGHT to location [x=1,y=8], randomly.
 Step  60: Agent moved RIGHT to location [x=2,y=8], randomly.
 Step  61: Agent moved UP_LEFT to location [x=1,y=7], randomly.
 Step  62: Agent moved UP_RIGHT to location [x=2,y=6], randomly.
 Step  63: Agent moved  DOWN to location [x=2,y=7], randomly.
 Step  64: Agent moved  LEFT to location [x=1,y=7], randomly.
