X,Y,
,,
3,0,
3,0,
3,0,
2,1,
1,2,
2,2,
3,3,
2,2,
2,1,
2,1,
3,1,
2,0,
3,0,
3,0,
4,0,
4,0,
4,0,
4,0,
3,1,
3,1,
2,1,
3,0,
3,0,
3,0,
3,1,
3,0,
2,0,
1,1,
0,0,
0,0,
0,0,
0,0,
0,0,
1,1,
1,1,
1,1,
1,0,
2,1,
2,0,
2,0,
2,1,
2,0,
2,0,
3,0,
3,0,
4,0,
4,0,
5,0,
5,0,
5,0,
5,0,
5,0,
5,1,
5,1,
4,2,
3,1,
3,1,
2,2,
2,2,
2,2,
2,2,
1,2,
1,1,
0,2,
0,2,
0,2,
0,2,
0,3,
1,2,
2,3,
2,4,
2,4,
2,4,
2,4,
2,4,
2,4,
1,5,
0,5,
1,5,
2,5,
2,5,
2,5,
1,5,
0,6,
0,6,
0,6,
0,6,
0,6,
0,6,
0,6,
1,7,
0,6,
0,6,
0,6,
0,5,
0,5,
1,6,
0,6,
0,6,
0,6,
0,6,
0,6,
0,6,
1,7,
1,7,
1,7,
1,7,
2,8,
2,9,
2,10,
3,11,
2,12,
1,13,
2,12,
1,12,
1,13,
2,14,
2,14,
2,13,
1,14,
2,15,
1,14,
0,13,
1,13,
2,14,
3,15,
4,14,
4,14,
4,14,
4,14,
3,15,
4,16,
4,16,
3,17,
2,17,
1,17,
0,18,
0,17,
0,17,
1,18,
2,17,
3,17,
4,17,
4,18,
4,18,
3,19,
3,19,
3,19,
3,19,
2,20,
3,21,
4,21,
4,20,
5,20,
4,21,
4,21,
5,20,
5,19,
6,20,
6,21,
7,22,
6,22,
5,23,
5,23,
6,22,
6,22,
5,23,
5,23,
6,22,
5,23,
6,23,
6,23,
6,22,
5,23,
4,22,
3,23,
,,
3,0,
2,0,
1,1,
1,2,
2,3,
2,4,
2,5,
2,6,
2,7,
2,8,
2,9,
2,10,
2,11,
2,12,
2,13,
2,14,
2,15,
2,16,
2,17,
2,18,
2,19,
2,20,
2,21,
2,21,
2,22,
2,23,
2,23,
2,23,
2,23,
2,23,
1,23,
1,23,
0,23,
0,23,
0,23,
1,23,
1,23,
2,23,
3,23,
,,
3,0,
3,1,
3,1,
4,2,
4,2,
5,2,
5,2,
5,2,
5,2,
5,2,
5,2,
5,2,
4,2,
3,3,
3,3,
2,4,
1,5,
0,6,
0,6,
0,6,
0,6,
0,6,
0,6,
1,6,
2,7,
2,8,
2,9,
2,10,
2,11,
2,12,
2,13,
