X,Y,
,,
5,0,
5,0,
5,0,
5,0,
5,0,
5,0,
5,0,
5,0,
5,0,
5,0,
5,0,
5,0,
4,0,
4,0,
4,0,
4,0,
4,0,
4,0,
4,0,
4,0,
4,0,
4,0,
3,1,
3,1,
4,2,
4,2,
3,3,
3,3,
3,3,
3,3,
3,3,
4,4,
4,4,
3,3,
3,3,
4,3,
3,3,
4,4,
4,3,
5,2,
5,2,
6,3,
6,3,
6,3,
5,2,
5,2,
6,3,
6,3,
7,4,
6,4,
6,4,
6,4,
6,4,
7,4,
6,5,
0,0,
,,
5,0,
5,0,
5,1,
4,2,
4,2,
3,3,
2,4,
1,5,
1,5,
0,0,
,,
5,0,
5,0,
5,0,
5,0,
5,0,
5,0,
5,1,
4,2,
4,2,
3,3,
2,4,
1,5,
0,0,
,,
5,0,
5,1,
4,2,
4,2,
3,3,
2,4,
1,5,
1,5,
0,0,
,,
5,0,
5,0,
5,0,
5,1,
4,2,
4,2,
3,3,
2,4,
1,5,
0,0,
