Id,Start,Goal,Path Num,Steps,Time,
5,R,W,1,1199,5.163,
3,P,W,1,1199,5.171,
2,A,W,1,1199,5.178,
4,C,W,1,1199,5.197,
1,D,W,1,1199,5.253,
2,2,W,1,1199,5.196,
3,3,W,1,1199,5.197,
5,5,W,1,1199,5.2,
4,4,W,1,1199,5.193,
1,1,W,1,1199,5.145,
1,1,W,1,1199,1.011,
2,2,W,1,1199,0.993,
4,4,W,1,1199,1.006,
3,3,W,1,1199,1.009,
3,3,W,1,163,0.16,
3,3,W,1,33,1.724,
3,3,W,1,21,13.466,
3,P,W,1,7,19.176,
1,1,W,1,111,0.0970001,
1,1,W,1,79,7.718,
1,1,W,1,10,14.393,
1,D,W,1,84,20.237,
4,4,W,1,154,0.144,
4,4,W,1,110,7.787,
4,4,W,1,35,17.534,
4,C,W,1,41,23.306,
5,5,W,1,1199,2.532,
2,2,W,1,52,0.0400002,
2,2,W,1,87,15.741,
2,2,W,1,43,23.552,
2,A,W,1,2,29.26,
5,5,W,1,77,0.0830002,
5,5,W,1,77,17.363,
5,5,W,1,61,36.184,
5,R,W,1,25,41.925,
1,1,W,2,1199,131.18,
4,4,W,2,1199,144.112,
4,4,W,2,6,0.0769999,
4,4,W,2,11,147.925,
4,4,W,2,15,149.746,
4,C,W,2,10,150.397,
1,1,W,2,8,0.0780001,
1,1,W,2,32,151.064,
1,1,W,2,15,152.752,
1,D,W,2,16,154.538,
3,3,W,2,1199,142.127,
3,3,W,2,48,12.073,
3,3,W,2,4,154.829,
3,3,W,2,16,168.994,
3,P,W,2,7,169.543,
2,2,W,2,1199,141.797,
2,2,W,2,6,0.0699999,
2,2,W,2,5,142.524,
2,2,W,2,50,167.188,
2,A,W,2,27,168.381,
5,5,W,2,1199,144.641,
5,5,W,2,15,0.19,
5,5,W,2,14,151.555,
5,5,W,2,49,179.179,
5,R,W,2,4,179.71,
1,1,W,3,1199,73.271,
1,1,W,3,6,0.0809999,
1,1,W,3,6,74.052,
1,1,W,3,19,78.865,
1,D,W,3,20,79.684,
2,2,W,3,1199,58.859,
2,2,W,3,11,2.199,
2,2,W,3,12,65.136,
2,2,W,3,6,65.785,
2,A,W,3,14,67.515,
4,4,W,3,1199,156.761,
4,4,W,3,13,0.252,
4,4,W,3,4,157.864,
4,4,W,3,117,242.464,
4,C,W,3,15,243.241,
3,3,W,3,1199,159.083,
3,3,W,3,57,5.211,
3,3,W,3,1,164.85,
3,3,W,3,87,232.442,
3,P,W,3,26,235.427,
1,1,W,4,1199,161.616,
5,5,W,3,1199,154.052,
5,5,W,3,19,0.352,
5,5,W,3,5,155.043,
5,5,W,3,75,210.87,
5,R,W,3,4,211.405,
2,2,W,4,1199,131.58,
2,2,W,4,6,0.111,
2,2,W,4,15,133.899,
2,2,W,4,81,174.36,
2,A,W,4,14,175.166,
1,1,W,4,33,13.784,
1,1,W,4,62,216.819,
1,1,W,4,22,225.003,
1,D,W,4,24,225.915,
5,5,W,4,1199,80.802,
5,5,W,4,29,7.691,
5,5,W,4,17,95.042,
5,5,W,4,6,95.697,
5,R,W,4,8,97.375,
3,3,W,4,1199,88.269,
3,3,W,4,6,0.121,
3,3,W,4,1,88.93,
3,3,W,4,26,107.202,
3,P,W,4,5,107.807,
4,4,W,4,1199,90.485,
4,4,W,4,31,12.88,
4,4,W,4,1,103.931,
4,4,W,4,42,136.71,
4,C,W,4,11,137.351,
1,1,W,5,1199,116.173,
2,2,W,5,1199,122.434,
2,2,W,5,6,0.0810001,
2,2,W,5,15,130.146,
2,2,W,5,159,219.764,
2,A,W,5,24,220.807,
1,1,W,5,42,18.098,
1,1,W,5,7,135.393,
1,1,W,5,71,187.103,
1,D,W,5,19,187.911,
4,4,W,5,1199,134.051,
4,4,W,5,17,3.323,
4,4,W,5,14,142.909,
4,4,W,5,6,144.571,
4,C,W,5,21,146.497,
3,3,W,5,1199,149.534,
3,3,W,5,6,0.105,
3,3,W,5,23,163.861,
3,3,W,5,53,196.519,
3,P,W,5,5,197.096,
5,5,W,5,1199,117.4,
5,5,W,5,6,0.11,
5,5,W,5,7,118.104,
5,5,W,5,156,204.643,
5,R,W,5,11,205.367,
ALL,NA,NA,NA,NA,735.917,
