Id,Start,Goal,Path Num,Steps,Time,
1,1,H,1,384,1.342,
1,C,H,1,39,1.981,
1,1,H,2,20,0.172,
1,C,H,2,20,0.78,
1,1,H,3,18,0.109,
1,C,H,3,19,0.749,
4,4,W,1,122,2.153,
4,A,W,1,212,4.103,
4,4,W,2,16,0.063,
4,A,W,2,13,0.624,
4,4,W,3,26,0.187,
4,A,W,3,13,0.748,
4,4,W,4,28,0.359,
4,A,W,4,14,1.997,
2,2,W,1,59,5.211,
2,P,W,1,195,9.126,
1,1,H,4,44,5.819,
1,C,H,4,128,11.653,
1,1,H,5,12,0.141,
1,C,H,5,23,0.78,
2,2,W,2,16,0.0940001,
2,P,W,2,40,7.052,
5,5,W,1,214,15.647,
5,R,W,1,37,16.286,
2,2,W,3,40,0.592,
2,P,W,3,11,1.138,
5,5,W,2,86,0.983,
5,R,W,2,10,1.545,
2,2,W,4,20,0.156,
2,P,W,4,11,0.734,
5,5,W,3,29,0.249,
5,R,W,3,11,0.795,
5,5,W,4,18,0.14,
5,R,W,4,10,0.702,
4,4,W,5,119,10.514,
4,A,W,5,15,12.137,
5,5,W,5,33,0.187,
5,R,W,5,10,0.749,
2,2,W,5,23,4.352,
2,P,W,5,11,5.943,
3,3,W,1,1140,76.159,
3,D,W,1,347,77.204,
3,3,W,2,16,0.0929999,
3,D,W,2,13,0.655,
3,3,W,3,39,0.203,
3,D,W,3,15,0.765,
3,3,W,4,42,0.265,
3,D,W,4,13,0.826,
3,3,W,5,67,8.97,
3,D,W,5,15,9.532,
ALL,NA,NA,NA,NA,89.076,
