Id,Start,Goal,Path Num,Steps,Time,
5,5,W,1,317,8.502,
5,R,W,1,32,9.126,
5,5,W,2,12,0.0470002,
5,R,W,2,20,0.671,
5,5,W,3,106,2.746,
5,R,W,3,31,5.538,
3,3,W,1,325,15.709,
3,D,W,1,24,16.317,
5,5,W,4,28,0.312,
5,R,W,4,10,1.888,
3,3,W,2,21,0.125,
3,D,W,2,12,1.701,
4,4,W,1,315,17.815,
4,A,W,1,32,18.424,
5,5,W,5,18,0.297,
5,R,W,5,348,1.716,
4,4,W,2,120,1.108,
4,A,W,2,16,1.716,
4,4,W,3,21,0.172,
4,A,W,3,12,0.733,
4,4,W,4,15,0.125,
4,A,W,4,13,0.686,
1,1,H,1,573,21.044,
1,C,H,1,59,21.7,
4,4,W,5,17,0.125,
4,A,W,5,12,0.702,
3,3,W,3,58,4.914,
3,D,W,3,21,5.631,
1,1,H,2,33,0.312,
1,C,H,2,19,2.028,
3,3,W,4,15,0.125,
3,D,W,4,24,1.155,
3,3,W,5,41,0.312,
3,D,W,5,43,2.184,
2,2,W,1,316,18.798,
2,P,W,1,106,28.72,
1,1,H,3,11,0.0469999,
1,C,H,3,29,5.117,
1,1,H,4,28,0.187,
1,C,H,4,15,0.795,
2,2,W,2,39,0.202,
2,P,W,2,11,1.762,
2,2,W,3,88,1.685,
2,P,W,3,13,2.294,
2,2,W,4,20,0.14,
2,P,W,4,13,1.778,
1,1,H,5,37,4.539,
1,C,H,5,50,5.429,
2,2,W,5,84,4.96,
2,P,W,5,16,5.6,
ALL,NA,NA,NA,NA,40.248,
