Id,Start,Goal,Path Num,Steps,Time,
4,D,W,1,370,1.404,
1,C,H,1,391,1.451,
2,P,W,1,393,1.482,
5,R,W,1,409,1.545,
3,A,W,1,573,2.106,
5,R,W,2,33,0.889,
2,P,W,2,52,1.466,
4,D,W,2,83,3.947,
3,A,W,2,84,3.947,
5,R,W,3,69,3.978,
3,A,W,3,28,0.78,
2,P,W,3,109,4.649,
4,D,W,3,83,3.775,
5,R,W,4,79,3.759,
3,A,W,4,91,4.368,
2,P,W,4,102,4.492,
4,D,W,4,60,3.276,
5,R,W,5,45,2.73,
3,A,W,5,37,1.825,
2,P,W,5,81,2.621,
4,D,W,5,96,3.198,
1,C,H,2,354,15.475,
1,C,H,3,151,1.794,
1,C,H,4,89,0.889,
1,C,H,5,139,1.56,
ALL,NA,NA,NA,NA,21.325,
