Id,Start,Goal,Path Num,Steps,Time,
2,C,W,1,1599,6.879,
1,D,W,1,1599,6.871,
4,P,W,1,1599,6.892,
3,A,W,1,1599,6.892,
5,R,W,1,1599,6.898,
2,2,W,1,1599,6.903,
3,3,W,1,1599,6.927,
1,1,W,1,1599,6.938,
5,5,W,1,1599,6.973,
4,4,W,1,1599,6.261,
3,3,W,1,49,0.0599999,
3,3,W,1,112,8.631,
3,A,W,1,3,16.052,
1,1,W,1,108,0.111,
1,1,W,1,185,13.807,
1,D,W,1,20,21.24,
2,2,W,1,102,0.0839999,
2,2,W,1,246,13.953,
2,C,W,1,1,21.361,
4,4,W,1,72,0.056,
4,4,W,1,124,16.952,
4,P,W,1,9,25.368,
5,5,W,1,56,0.0450001,
5,5,W,1,166,27.694,
5,R,W,1,4,35.122,
2,2,W,2,74,2.574,
2,2,W,2,45,12.131,
2,C,W,2,263,22.706,
3,3,W,2,242,6.004,
3,3,W,2,87,29.595,
3,A,W,2,100,32.002,
1,1,W,2,74,1.741,
1,1,W,2,28,21.198,
1,D,W,2,505,37.133,
4,4,W,2,17,0.365,
4,4,W,2,114,40.839,
4,P,W,2,7,41.454,
1,1,W,3,40,0.932,
1,1,W,3,22,7.956,
1,D,W,3,77,11.483,
1,1,W,4,82,1.796,
1,1,W,4,16,4.709,
1,D,W,4,114,10.288,
5,5,W,2,111,2.939,
5,5,W,2,114,46.975,
5,R,W,2,148,50.169,
2,2,W,3,123,2.679,
2,2,W,3,48,25.642,
2,C,W,3,612,45.015,
4,4,W,3,15,0.328,
4,4,W,3,58,18.058,
4,P,W,3,431,29.371,
5,5,W,3,42,1.01,
5,5,W,3,21,10.024,
5,R,W,3,60,12.377,
1,1,W,5,45,1.041,
1,1,W,5,19,5.99,
1,D,W,5,513,20.158,
5,5,W,4,227,7.457,
5,5,W,4,23,16.337,
5,R,W,4,21,17.99,
3,3,W,3,192,6.509,
3,3,W,3,114,62.529,
3,A,W,3,195,69.15,
4,4,W,4,62,1.377,
4,4,W,4,37,18.612,
4,P,W,4,80,22.287,
2,2,W,4,37,0.821,
2,2,W,4,14,7.605,
2,C,W,4,1309,32.665,
5,5,W,5,138,4.58,
5,5,W,5,24,22.93,
5,R,W,5,48,24.143,
2,2,W,5,139,9.356,
2,2,W,5,26,18.566,
2,C,W,5,285,23.832,
4,4,W,5,71,4.828,
4,4,W,5,42,25.218,
4,P,W,5,132,28.112,
3,3,W,4,240,9.393,
3,3,W,4,57,29.898,
3,A,W,4,55,31.171,
3,3,W,5,313,5.106,
3,3,W,5,17,10.982,
3,A,W,5,17,11.737,
ALL,NA,NA,NA,NA,160.183,
