Id,Start,Goal,Path Num,Steps,Time,
1,P,W,1,173,0.608,
3,D,W,1,180,0.64,
4,A,W,1,190,0.671,
1,P,W,2,23,0.39,
4,A,W,2,25,0.656,
3,D,W,2,28,0.905,
3,D,W,3,25,0.748,
4,A,W,3,32,1.014,
2,C,H,1,660,2.497,
1,P,W,3,75,3.526,
3,D,W,4,49,2.73,
4,A,W,4,54,2.964,
3,D,W,5,40,1.623,
5,R,W,1,1904,6.958,
5,R,W,2,26,0.5,
2,C,H,2,111,5.289,
4,A,W,5,51,2.714,
1,P,W,4,64,3.885,
5,R,W,3,62,1.311,
5,R,W,4,42,0.733,
2,C,H,3,43,1.95,
1,P,W,5,45,2.215,
5,R,W,5,59,1.31,
2,C,H,4,71,1.388,
2,C,H,5,307,4.118,
ALL,NA,NA,NA,NA,15.429,
