Id,Start,Goal,Path Num,Steps,Time,
5,R,W,1,83,0.36,
2,A,W,1,181,0.798,
3,C,E,1,269,1.203,
1,D,W,1,315,1.413,
3,C,E,2,11,0.244,
4,P,W,1,469,2.075,
1,D,W,2,20,1.225,
4,P,W,2,15,0.771,
2,A,W,2,32,3.517,
4,P,W,3,23,1.995,
3,C,E,3,45,3.58,
2,A,W,3,24,1.777,
1,D,W,3,37,3.432,
3,C,E,4,22,1.201,
3,C,E,5,15,1.072,
5,R,W,2,98,7.508,
4,P,W,4,27,3.116,
2,A,W,4,33,2.145,
3,C,E,6,38,3.185,
5,R,W,3,51,3.815,
3,C,E,7,26,1.527,
4,P,W,5,42,4.058,
1,D,W,4,79,6.599,
1,D,W,5,19,0.99,
3,C,E,8,29,1.712,
1,D,W,6,15,0.897,
1,D,W,7,24,1.183,
2,A,W,5,85,8.512,
1,D,W,8,17,1.606,
4,P,W,6,50,5.628,
3,C,E,9,45,4.322,
5,R,W,4,59,6.769,
3,C,E,10,12,1.178,
1,D,W,9,33,2.508,
3,C,E,11,25,1.461,
1,D,W,10,19,1.021,
3,C,E,12,13,0.894,
2,A,W,6,61,5.347,
1,D,W,11,37,2.197,
5,R,W,5,47,5.376,
1,D,W,12,23,1.126,
1,D,W,13,19,1.282,
3,C,E,13,39,5.053,
2,A,W,7,51,5.648,
1,D,W,14,25,2.213,
1,D,W,15,18,0.748,
4,P,W,7,101,11.468,
3,C,E,14,32,2.728,
1,D,W,16,24,2.057,
2,A,W,8,18,3.212,
5,R,W,6,75,7.576,
1,D,W,17,15,1.279,
4,P,W,8,32,2.984,
3,C,E,15,41,4.709,
2,A,W,9,28,3.238,
4,P,W,9,27,2.353,
2,A,W,10,21,1.321,
5,R,W,7,52,4.52,
4,P,W,10,16,1.431,
5,R,W,8,22,2.308,
1,D,W,18,50,6.391,
2,A,W,11,48,2.889,
3,C,E,16,50,4.529,
1,D,W,19,19,1.034,
4,P,W,11,44,3.628,
3,C,E,17,20,1.023,
5,R,W,9,32,2.193,
2,A,W,12,18,2.15,
3,C,E,18,26,1.379,
5,R,W,10,16,1.096,
4,P,W,12,46,3.781,
1,D,W,20,57,4.928,
2,A,W,13,64,4.893,
3,C,E,19,64,4.446,
5,R,W,11,76,4.689,
4,P,W,13,41,3.406,
5,R,W,12,20,1.699,
2,A,W,14,25,2.677,
3,C,E,20,77,3.28,
4,P,W,14,40,2.677,
5,R,W,13,35,1.789,
2,A,W,15,33,1.805,
5,R,W,14,16,0.383,
5,R,W,15,11,0.368,
2,A,W,16,29,1.031,
5,R,W,16,33,1.213,
2,A,W,17,20,1.062,
5,R,W,17,15,0.724,
2,A,W,18,17,0.874,
2,A,W,19,17,0.393,
2,A,W,20,17,0.458,
5,R,W,18,46,1.657,
4,P,W,15,109,5.022,
5,R,W,19,51,1.438,
4,P,W,16,54,1.98,
5,R,W,20,48,1.287,
4,P,W,17,28,0.645,
4,P,W,18,48,0.583,
4,P,W,19,39,0.39,
4,P,W,20,39,0.37,
ALL,NA,NA,NA,NA,58.709,
