Id,Start,Goal,Path Num,Steps,Time,
3,3,W,1,121,1.089,
3,D,W,1,195,3.095,
4,4,W,1,50,3.088,
4,A,W,1,480,4.469,
4,4,W,2,59,0.499,
4,A,W,2,42,1.178,
3,3,W,2,14,0.069,
3,D,W,2,30,2.724,
3,3,W,3,44,0.436,
3,D,W,3,30,1.254,
3,3,W,4,14,0.105,
3,D,W,4,23,0.769,
3,3,W,5,14,0.079,
3,D,W,5,28,2.938,
3,3,W,6,16,0.116,
3,D,W,6,16,0.777,
3,3,W,7,35,0.255,
3,D,W,7,14,0.873,
4,A,W,3,2399,6.942,
3,3,W,8,20,0.247,
3,D,W,8,12,0.809,
3,3,W,9,14,0.0999999,
3,D,W,9,12,0.671,
3,3,W,10,36,0.64,
3,D,W,10,21,1.555,
3,3,W,11,27,0.465,
3,D,W,11,34,3.16,
4,4,W,4,101,4.132,
4,A,W,4,525,6.513,
3,3,W,12,16,0.126,
3,D,W,12,29,0.819,
4,4,W,5,36,0.335,
4,A,W,5,15,0.905,
3,3,W,13,12,0.0630002,
3,D,W,13,30,0.78,
3,3,W,14,36,0.622,
3,D,W,14,19,1.231,
4,4,W,6,25,0.659,
4,A,W,6,21,1.406,
3,3,W,15,16,0.251,
3,D,W,15,18,0.887,
4,4,W,7,25,0.414,
4,A,W,7,15,1.056,
5,5,W,1,887,21.907,
5,R,W,1,78,22.668,
3,3,W,16,22,0.194,
3,D,W,16,18,0.771,
5,5,W,2,12,0.128,
5,R,W,2,10,0.652,
3,3,W,17,41,0.33,
3,D,W,17,19,0.917,
4,4,W,8,28,1.44,
4,A,W,8,20,2.085,
3,3,W,18,29,0.46,
3,D,W,18,36,1.188,
3,3,W,19,33,0.254,
3,D,W,19,32,0.936,
4,4,W,9,35,0.35,
4,A,W,9,21,2.007,
5,5,W,3,25,0.15,
5,R,W,3,36,3.946,
4,4,W,10,18,0.223,
4,A,W,10,16,1.886,
5,5,W,4,41,2.519,
5,R,W,4,10,4.071,
3,3,W,20,22,0.423,
3,D,W,20,35,5.261,
5,5,W,5,42,0.745,
5,R,W,5,25,1.462,
4,4,W,11,42,0.742,
4,A,W,11,16,4.396,
5,5,W,6,12,0.138,
5,R,W,6,30,1.091,
4,4,W,12,16,0.273,
4,A,W,12,20,1.099,
2,2,H,1,952,31.912,
1,1,W,1,474,33.625,
2,C,H,1,695,34.557,
1,P,W,1,123,34.571,
5,5,W,7,12,0.16,
5,R,W,7,10,0.704,
4,4,W,13,40,0.442,
4,A,W,13,15,1.037,
2,2,H,2,17,0.263,
2,C,H,2,15,0.922,
1,1,W,2,57,0.667,
1,P,W,2,11,1.242,
2,2,H,3,31,0.222,
2,C,H,3,28,0.893,
1,1,W,3,16,0.131,
1,P,W,3,18,0.851,
1,1,W,4,12,0.069,
1,P,W,4,11,0.606,
1,1,W,5,30,0.309,
1,P,W,5,11,0.845,
2,2,H,4,24,0.247,
2,C,H,4,12,1.794,
1,1,W,6,43,0.321,
1,P,W,6,11,0.869,
1,1,W,7,34,0.319,
1,P,W,7,11,0.854,
1,1,W,8,16,0.16,
1,P,W,8,11,0.696,
1,1,W,9,16,0.229,
1,P,W,9,11,0.765,
4,4,W,14,11,0.166,
4,A,W,14,17,6.886,
1,1,W,10,45,0.381,
1,P,W,10,11,0.917,
2,2,H,5,46,4.541,
2,C,H,5,47,6.325,
5,5,W,8,47,7.543,
5,R,W,8,18,10.267,
1,1,W,11,20,2.186,
1,P,W,11,15,5.866,
5,5,W,9,24,3.325,
5,R,W,9,17,4.123,
4,4,W,15,39,6.562,
4,A,W,15,14,7.145,
1,1,W,12,26,0.482,
1,P,W,12,17,2.113,
5,5,W,10,28,0.466,
5,R,W,10,25,1.365,
