Id,Start,Goal,Path Num,Steps,Time,
2,D,W,1,1599,7.005,
1,A,W,1,1599,6.989,
5,R,W,1,1599,7.02,
3,C,W,1,1599,7.051,
4,P,W,1,1599,7.098,
2,2,W,1,1599,5.366,
5,5,W,1,1599,5.804,
4,4,W,1,1599,5.912,
3,3,W,1,1599,5.71,
1,1,W,1,1599,5.507,
2,2,W,1,220,0.203,
2,2,W,1,29,7.191,
2,D,W,1,26,14.82,
3,3,W,1,230,0.452,
3,3,W,1,86,6.818,
3,C,W,1,60,15.584,
1,1,W,1,291,0.53,
1,1,W,1,7,6.568,
1,A,W,1,258,15.647,
5,5,W,1,39,0.0309999,
5,5,W,1,170,12.792,
5,R,W,1,63,20.561,
4,4,W,1,122,0.124,
4,4,W,1,153,25.209,
4,P,W,1,233,33.259,
5,5,W,2,15,0.702,
5,5,W,2,22,5.881,
5,R,W,2,252,16.255,
1,1,W,2,132,2.886,
1,1,W,2,24,9.079,
1,A,W,2,182,22.417,
2,2,W,2,48,1.607,
2,2,W,2,38,21.7,
2,D,W,2,159,33.634,
1,1,W,3,96,4.244,
1,1,W,3,35,11.513,
1,A,W,3,121,16.099,
3,3,W,2,230,7.925,
3,3,W,2,83,30.513,
3,C,W,2,111,39.78,
5,5,W,3,106,11.357,
5,5,W,3,64,39.125,
5,R,W,3,105,42.728,
1,1,W,4,331,21.465,
1,1,W,4,26,30.981,
1,A,W,4,68,33.15,
3,3,W,3,229,20.701,
3,3,W,3,30,29.079,
3,C,W,3,88,32.276,
2,2,W,3,338,20.546,
2,2,W,3,67,40.045,
2,D,W,3,96,42.541,
5,5,W,4,105,1.887,
5,5,W,4,46,19.797,
5,R,W,4,138,22.714,
2,2,W,4,130,2.278,
2,2,W,4,25,14.945,
2,D,W,4,105,19.485,
5,5,W,5,70,1.341,
5,5,W,5,33,13.931,
5,R,W,5,81,16.739,
1,1,W,5,15,0.265,
1,1,W,5,36,25.506,
1,A,W,5,153,33.025,
3,3,W,4,93,1.762,
3,3,W,4,67,31.824,
3,C,W,4,118,37.534,
2,2,W,5,147,2.512,
2,2,W,5,18,14.789,
2,D,W,5,82,17.628,
4,4,W,2,15,0.234,
4,4,W,2,304,98.031,
4,P,W,2,69,99.622,
3,3,W,5,227,3.884,
3,3,W,5,38,24.804,
3,C,W,5,71,26.52,
4,4,W,3,21,0.39,
4,4,W,3,164,60.372,
4,P,W,3,92,62.166,
4,4,W,4,85,1.513,
4,4,W,4,51,26.551,
4,P,W,4,142,29.234,
4,4,W,5,15,0.327,
4,4,W,5,494,115.393,
4,P,W,5,212,118.795,
ALL,NA,NA,NA,NA,343.138,
