Id,Start,Goal,Path Num,Steps,Time,
3,D,W,1,69,0.279,
4,C,E,1,82,0.342,
5,R,W,1,100,0.406,
1,A,W,1,109,0.441,
2,P,W,1,163,0.61,
3,D,W,2,15,0.44,
2,P,W,2,11,0.336,
3,D,W,3,12,0.325,
3,D,W,4,26,0.775,
1,A,W,2,32,1.491,
4,C,E,2,59,1.778,
2,P,W,3,32,1.19,
3,D,W,5,16,0.681,
5,R,W,2,49,2.262,
1,A,W,3,33,1.136,
3,D,W,6,19,0.577,
2,P,W,4,43,1.396,
5,R,W,3,36,1.579,
2,P,W,5,19,0.88,
2,P,W,6,14,0.437,
3,D,W,7,46,1.924,
1,A,W,4,52,2.093,
3,D,W,8,16,0.426,
5,R,W,4,40,1.297,
4,C,E,3,103,3.652,
3,D,W,9,19,0.617,
2,P,W,7,35,1.41,
5,R,W,5,22,0.778,
4,C,E,4,17,0.564,
3,D,W,10,19,0.515,
3,D,W,11,11,0.266,
5,R,W,6,15,0.526,
1,A,W,5,50,1.781,
4,C,E,5,23,0.814,
3,D,W,12,19,0.547,
5,R,W,7,18,0.638,
1,A,W,6,18,0.687,
2,P,W,8,45,1.465,
3,D,W,13,16,0.412,
5,R,W,8,15,0.432,
1,A,W,7,19,0.629,
5,R,W,9,15,0.417,
3,D,W,14,20,0.702,
3,D,W,15,16,0.481,
5,R,W,10,23,0.852,
2,P,W,9,49,1.719,
4,C,E,6,80,2.433,
1,A,W,8,40,1.475,
3,D,W,16,20,0.867,
4,C,E,7,12,0.347,
2,P,W,10,13,0.499,
5,R,W,11,24,0.882,
4,C,E,8,12,0.354,
5,R,W,12,10,0.378,
1,A,W,9,29,0.898,
3,D,W,17,26,0.812,
4,C,E,9,22,0.601,
5,R,W,13,13,0.475,
2,P,W,11,26,1.08,
3,D,W,18,19,0.655,
5,R,W,14,17,0.596,
2,P,W,12,22,0.758,
3,D,W,19,21,0.851,
1,A,W,10,46,1.597,
4,C,E,10,34,1.339,
2,P,W,13,16,0.599,
4,C,E,11,21,0.644,
3,D,W,20,26,0.975,
4,C,E,12,12,0.328,
2,P,W,14,28,0.959,
5,R,W,15,56,1.91,
4,C,E,13,12,0.233,
4,C,E,14,17,0.433,
1,A,W,11,57,1.756,
2,P,W,15,28,0.769,
4,C,E,15,13,0.321,
1,A,W,12,21,0.591,
5,R,W,16,57,1.547,
4,C,E,16,33,0.878,
5,R,W,17,13,0.343,
2,P,W,16,49,1.322,
4,C,E,17,33,0.85,
2,P,W,17,16,0.525,
4,C,E,18,12,0.427,
1,A,W,13,57,1.828,
2,P,W,18,29,0.771,
5,R,W,18,58,1.644,
4,C,E,19,43,1.097,
2,P,W,19,39,0.947,
5,R,W,19,27,0.719,
4,C,E,20,23,0.709,
5,R,W,20,29,0.684,
1,A,W,14,76,2.044,
1,A,W,15,55,0.685,
1,A,W,16,18,0.226,
2,P,W,20,115,1.902,
1,A,W,17,54,0.461,
1,A,W,18,19,0.134,
1,A,W,19,17,0.117,
1,A,W,20,18,0.0999999,
ALL,NA,NA,NA,NA,20.462,
