Id,Start,Goal,Path Num,Steps,Time,
3,3,W,1,23,4.134,
3,3,W,1,23,8.799,
3,3,W,1,35,13.526,
3,P,W,1,16,14.103,
2,2,W,1,141,32.012,
2,2,W,1,12,32.589,
2,2,W,1,10,35.194,
2,A,W,1,32,38.876,
4,4,H,1,95,3.166,
4,4,H,1,87,13.042,
4,4,H,1,134,40.435,
4,C,H,1,18,41.075,
5,5,W,1,9,0.0149999,
5,5,W,1,121,20.264,
5,5,W,1,161,41.543,
5,R,W,1,12,42.136,
3,3,W,2,17,2.294,
3,3,W,2,45,25.132,
3,3,W,2,14,32.105,
3,P,W,2,5,32.666,
4,4,H,2,17,3.401,
4,4,H,2,27,8.315,
4,4,H,2,25,22.745,
4,C,H,2,11,23.353,
1,1,W,1,107,34.101,
1,1,W,1,18,38.734,
1,1,W,1,161,69.217,
1,D,W,1,124,69.904,
2,2,W,2,6,0.063,
2,2,W,2,27,12.184,
2,2,W,2,35,39.218,
2,A,W,2,38,40.419,
5,5,W,2,5,0.016,
5,5,W,2,6,0.577,
5,5,W,2,53,41.652,
5,R,W,2,114,51.184,
2,2,W,3,7,0.0929999,
2,2,W,3,14,0.733,
2,2,W,3,10,7.909,
2,A,W,3,125,15.803,
1,1,W,2,19,0.327,
1,1,W,2,44,17.986,
1,1,W,2,31,40.108,
1,D,W,2,57,41.34,
3,3,W,3,30,8.783,
3,3,W,3,14,9.438,
3,3,W,3,117,85.909,
3,P,W,3,5,86.455,
2,2,W,4,13,6.381,
2,2,W,4,67,27.565,
2,2,W,4,12,37.705,
2,A,W,4,24,38.594,
5,5,W,3,5,0.063,
5,5,W,3,39,13.541,
5,5,W,3,32,41.699,
5,R,W,3,14,42.448,
4,4,H,3,20,3.4,
4,4,H,3,94,26.583,
4,4,H,3,114,90.793,
4,C,H,3,56,92.197,
1,1,W,3,20,6.412,
1,1,W,3,47,25.319,
1,1,W,3,48,49.874,
1,D,W,3,27,50.7,
3,3,W,4,25,4.415,
3,3,W,4,14,5.054,
3,3,W,4,56,46.676,
3,P,W,4,5,47.222,
2,2,W,5,14,0.452,
2,2,W,5,85,38.298,
2,2,W,5,47,68.359,
2,A,W,5,36,69.358,
5,5,W,4,10,0.187,
5,5,W,4,54,21.278,
5,5,W,4,70,68.032,
5,R,W,4,4,68.609,
4,4,H,4,12,4.259,
4,4,H,4,30,9.298,
4,4,H,4,55,51.558,
4,C,H,4,43,52.619,
3,3,W,5,65,21.606,
3,3,W,5,14,22.246,
3,3,W,5,11,28.189,
3,P,W,5,10,30.888,
1,1,W,4,10,0.14,
1,1,W,4,24,13.198,
1,1,W,4,61,58.906,
1,D,W,4,14,59.654,
4,4,H,5,14,6.427,
4,4,H,5,32,19.438,
4,4,H,5,6,20.062,
4,C,H,5,11,21.886,
5,5,W,5,108,39.968,
5,5,W,5,10,44.772,
5,5,W,5,19,60.201,
5,R,W,5,40,62.353,
1,1,W,5,6,0.0630002,
1,1,W,5,46,20.685,
1,1,W,5,188,137.452,
1,D,W,5,6,138.045,
ALL,NA,NA,NA,NA,359.721,
