Id,Start,Goal,Path Num,Steps,Time,
3,D,W,1,582,2.184,
1,C,H,1,595,2.246,
2,P,W,1,614,2.293,
5,R,W,1,617,2.324,
4,A,W,1,663,2.449,
3,D,W,2,25,0.265,
5,R,W,2,24,0.405,
4,A,W,2,33,1.467,
3,D,W,3,37,1.778,
4,A,W,3,43,2.87,
5,R,W,3,64,4.087,
2,P,W,2,61,4.914,
1,C,H,2,131,4.992,
3,D,W,4,104,4.868,
1,C,H,3,70,4.93,
5,R,W,4,132,6.568,
2,P,W,3,94,6.427,
4,A,W,4,151,8.143,
5,R,W,5,42,2.371,
3,D,W,5,125,6.911,
1,C,H,4,72,3.884,
4,A,W,5,38,1.654,
2,P,W,4,118,3.915,
1,C,H,5,153,4.119,
2,P,W,5,142,2.886,
ALL,NA,NA,NA,NA,20.561,
