Id,Start,Goal,Path Num,Steps,Time,
3,A,W,1,1199,5.975,
5,R,W,1,1199,6.022,
4,P,W,1,1199,6.022,
1,D,W,1,1199,6.038,
2,C,W,1,1199,6.053,
3,3,W,1,1199,5.647,
4,4,W,1,1199,5.709,
1,1,W,1,1199,5.741,
5,5,W,1,1199,5.725,
2,2,W,1,1199,5.709,
5,5,W,1,1199,1.217,
1,1,W,1,1199,1.185,
5,5,W,1,56,0.062,
5,5,W,1,11,2.839,
5,5,W,1,2,9.094,
5,R,W,1,33,15.756,
5,R,W,2,4,0.546,
5,R,W,3,12,0.749,
3,3,W,1,1199,1.217,
5,5,W,2,9,0.811,
3,3,W,1,34,0.0309999,
3,3,W,1,1,1.779,
3,3,W,1,23,11.076,
3,A,W,1,18,17.66,
5,5,W,3,6,0.624,
1,1,W,1,32,0.0469999,
1,1,W,1,9,4.836,
1,1,W,1,22,12.137,
1,D,W,1,31,18.798,
3,A,W,2,12,1.263,
3,3,W,2,4,0.64,
3,A,W,3,7,1.03,
3,3,W,3,4,0.702,
5,R,W,4,42,4.118,
3,A,W,4,8,1.263,
5,5,W,4,6,0.577,
3,3,W,4,8,0.687,
1,D,W,2,26,3.198,
1,1,W,2,8,0.671,
5,R,W,5,12,2.746,
5,5,W,5,8,0.764,
3,A,W,5,18,3.9,
3,3,W,5,4,0.624,
1,D,W,3,26,4.072,
1,1,W,3,4,0.686,
4,4,W,1,1199,5.647,
4,4,W,1,41,0.0630002,
4,4,W,1,23,6.334,
4,4,W,1,84,22.963,
4,P,W,1,19,29.578,
1,D,W,4,30,6.926,
1,1,W,4,1,0.562,
4,P,W,2,19,4.087,
4,4,W,2,7,0.624,
1,D,W,5,6,1.311,
1,1,W,5,6,0.561,
2,2,W,1,1199,5.476,
4,P,W,3,6,1.622,
4,4,W,3,8,0.624,
4,P,W,4,5,1.685,
4,4,W,4,11,0.686,
4,P,W,5,40,10.218,
4,4,W,5,1,0.562,
2,2,W,1,87,0.124,
2,2,W,1,167,36.629,
2,2,W,1,83,59.436,
2,C,W,1,73,66.16,
2,C,W,2,18,6.427,
2,2,W,2,1,0.64,
2,C,W,3,21,5.491,
2,2,W,3,4,0.624,
2,C,W,4,23,8.081,
2,2,W,4,1,1.591,
2,C,W,5,25,10.452,
ALL,NA,NA,NA,NA,96.767,
2,2,W,5,9,0.967,
