Id,Start,Goal,Path Num,Steps,Time,
1,C,H,1,170,0.546,
1,C,H,2,25,0.562,
4,A,W,1,467,1.701,
5,R,W,1,969,3.619,
1,C,H,3,100,2.823,
4,A,W,2,75,2.886,
4,A,W,3,33,1.092,
5,R,W,2,93,4.103,
3,D,W,1,2254,8.502,
4,A,W,4,57,3.338,
3,D,W,2,25,0.468,
1,C,H,4,73,6.302,
4,A,W,5,27,1.388,
3,D,W,3,64,1.841,
2,P,W,1,2991,11.123,
2,P,W,2,27,0.609,
5,R,W,3,85,4.243,
2,P,W,3,26,0.639,
3,D,W,4,65,1.981,
1,C,H,5,73,3.058,
2,P,W,4,29,0.765,
3,D,W,5,29,0.733,
5,R,W,4,82,2.511,
5,R,W,5,36,0.749,
2,P,W,5,90,2.043,
ALL,NA,NA,NA,NA,15.506,
