Id,Start,Goal,Path Num,Steps,Time,
4,A,W,1,417,1.498,
4,A,W,2,34,1.092,
3,D,W,1,755,3.089,
1,C,H,1,811,3.135,
5,R,W,1,1106,4.212,
3,D,W,2,53,1.669,
1,C,H,2,35,1.638,
4,A,W,3,45,2.262,
2,P,W,1,1337,5.102,
1,C,H,3,28,0.858,
4,A,W,4,37,1.404,
5,R,W,2,73,2.465,
3,D,W,3,58,3.542,
5,R,W,3,47,1.887,
4,A,W,5,45,2.683,
2,P,W,2,71,3.806,
5,R,W,4,28,1.045,
3,D,W,4,57,2.542,
5,R,W,5,51,2.122,
2,P,W,3,102,3.026,
3,D,W,5,64,2.247,
2,P,W,4,55,1.217,
2,P,W,5,47,0.718,
1,C,H,4,189,8.58,
1,C,H,5,52,0.484,
ALL,NA,NA,NA,NA,14.835,
