Id,Start,Goal,Path Num,Steps,Time,
3,3,W,1,229,7.394,
3,D,W,1,395,9.142,
1,1,H,1,388,7.535,
1,C,H,1,471,9.407,
1,1,H,2,33,0.203,
1,C,H,2,26,0.811,
1,1,H,3,11,0.141,
1,C,H,3,14,0.717,
3,3,W,2,42,0.421,
3,D,W,2,14,1.997,
2,2,W,1,147,7.301,
2,P,W,1,435,12.2,
5,5,W,1,355,12.76,
5,R,W,1,227,14.072,
2,2,W,2,12,0.234,
2,P,W,2,17,1.887,
1,1,H,4,72,3.931,
1,C,H,4,19,4.54,
2,2,W,3,23,0.359,
2,P,W,3,11,1.966,
5,5,W,2,37,0.655,
5,R,W,2,15,2.308,
4,4,W,1,223,15.647,
4,A,W,1,502,17.519,
2,2,W,4,31,0.312,
2,P,W,4,13,1.997,
5,5,W,3,13,0.234,
5,R,W,3,11,1.81,
4,4,W,2,18,0.25,
4,A,W,2,13,0.827,
3,3,W,3,27,4.618,
3,D,W,3,16,7.301,
4,4,W,3,12,0.187,
4,A,W,3,12,0.749,
4,4,W,4,13,0.109,
4,A,W,4,17,0.733,
5,5,W,4,157,2.98,
5,R,W,4,15,3.588,
4,4,W,5,19,3.4,
4,A,W,5,12,3.962,
3,3,W,4,25,7.675,
3,D,W,4,26,8.377,
3,3,W,5,101,2.075,
3,D,W,5,13,2.636,
5,5,W,5,48,4.68,
5,R,W,5,11,8.377,
2,2,W,5,116,11.435,
2,P,W,5,11,13.041,
1,1,H,5,48,18.174,
1,C,H,5,24,19.937,
ALL,NA,NA,NA,NA,35.474,
