Id,Start,Goal,Path Num,Steps,Time,
1,C,H,1,385,1.404,
1,C,H,2,24,0.359,
2,P,W,1,1338,5.289,
1,C,H,3,72,3.666,
2,P,W,2,44,1.653,
3,A,W,1,1926,7.598,
4,D,W,1,1965,8.362,
1,C,H,4,56,3.12,
3,A,W,2,43,1.341,
4,D,W,2,35,0.795,
2,P,W,3,39,2.808,
3,A,W,3,30,1.56,
3,A,W,4,32,1.264,
4,D,W,3,75,3.307,
5,R,W,1,3463,13.136,
4,D,W,4,31,1.216,
3,A,W,5,51,2.855,
5,R,W,2,47,1.341,
1,C,H,5,98,6.505,
2,P,W,4,111,5.648,
5,R,W,3,39,0.702,
5,R,W,4,78,1.763,
4,D,W,5,113,3.464,
2,P,W,5,55,1.95,
5,R,W,5,22,0.218,
ALL,NA,NA,NA,NA,17.722,
