Id,Start,Goal,Path Num,Steps,Time,
3,3,W,1,44,2.049,
3,P,W,1,27,2.641,
5,5,W,1,51,2.074,
5,R,W,1,453,3.507,
2,2,W,1,111,0.157,
2,D,W,1,523,3.63,
3,3,W,2,47,0.421,
3,P,W,2,25,1.004,
4,4,W,1,45,3.031,
4,A,W,1,60,3.699,
4,4,W,2,13,0.418,
4,A,W,2,13,1.018,
2,2,W,2,14,0.441,
2,D,W,2,16,1.113,
5,5,W,2,22,0.63,
5,R,W,2,28,1.383,
3,3,W,3,28,0.826,
3,P,W,3,11,1.426,
5,5,W,3,18,0.272,
5,R,W,3,10,0.849,
4,4,W,3,17,0.297,
4,A,W,3,32,2.083,
2,2,W,3,26,0.419,
2,D,W,3,13,2.028,
4,4,W,4,12,0.0649998,
4,A,W,4,13,0.634,
5,5,W,4,14,0.0909998,
5,R,W,4,43,1.907,
4,4,W,5,17,0.167,
4,A,W,5,12,0.7,
5,5,W,5,44,0.372,
5,R,W,5,11,0.912,
4,4,W,6,32,0.205,
4,A,W,6,18,0.789,
5,5,W,6,26,0.358,
5,R,W,6,11,0.9,
3,3,W,4,62,3.835,
3,P,W,4,11,4.391,
2,2,W,4,27,0.195,
2,D,W,4,13,2.827,
5,5,W,7,14,0.0709999,
5,R,W,7,10,0.634,
2,2,W,5,38,0.307,
2,D,W,5,15,1.866,
5,5,W,8,62,1.751,
5,R,W,8,10,2.295,
4,4,W,7,16,0.313,
4,A,W,7,27,3.977,
2,2,W,6,70,0.938,
2,D,W,6,12,1.506,
5,5,W,9,14,0.167,
5,R,W,9,10,0.709,
4,4,W,8,18,0.131,
4,A,W,8,13,0.726,
2,2,W,7,14,0.16,
2,D,W,7,22,1.069,
5,5,W,10,16,0.189,
5,R,W,10,24,1.051,
2,2,W,8,17,0.422,
2,D,W,8,12,0.968,
5,5,W,11,40,0.515,
5,R,W,11,10,1.057,
4,4,W,9,38,5.37,
4,A,W,9,42,7.213,
2,2,W,9,51,5.719,
2,D,W,9,15,6.278,
4,4,W,10,18,0.157,
4,A,W,10,13,0.698,
3,3,W,5,49,0.481,
3,P,W,5,28,12.45,
4,4,W,11,15,0.167,
4,A,W,11,13,0.718,
3,3,W,6,14,0.118,
3,P,W,6,11,0.682,
4,4,W,12,46,0.575,
4,A,W,12,12,1.125,
2,2,W,10,14,0.126,
2,D,W,10,21,2.823,
5,5,W,12,99,4.14,
5,R,W,12,15,9.818,
5,5,W,13,15,0.127,
5,R,W,13,10,0.672,
3,3,W,7,41,3.445,
3,P,W,7,11,3.983,
5,5,W,14,85,0.778,
5,R,W,14,12,3.345,
3,3,W,8,68,0.67,
3,P,W,8,24,3.392,
1,1,H,1,606,26.879,
1,C,H,1,527,31.411,
4,4,W,13,39,7.591,
4,A,W,13,12,8.14,
1,1,H,2,16,0.153,
1,C,H,2,26,1.806,
1,1,H,3,18,0.0900002,
1,C,H,3,24,0.822,
3,3,W,9,12,0.115,
3,P,W,9,24,4.872,
2,2,W,11,87,9.509,
2,D,W,11,16,12.108,
3,3,W,10,78,1.151,
3,P,W,10,11,1.714,
4,4,W,14,46,7.475,
4,A,W,14,12,8.054,
4,4,W,15,13,0.156,
4,A,W,15,16,0.8,
5,5,W,15,151,15.126,
5,R,W,15,12,15.673,
5,5,W,16,49,0.393,
5,R,W,16,18,2.02,
4,4,W,16,27,5.394,
4,A,W,16,12,6.951,
5,5,W,17,18,0.325,
5,R,W,17,10,0.866,
2,2,W,12,37,10.812,
