Id,Start,Goal,Path Num,Steps,Time,
3,D,W,1,546,2.091,
3,D,W,2,55,2.605,
2,P,W,1,1465,5.882,
5,R,W,1,1505,6.099,
4,A,W,1,1604,6.396,
5,R,W,2,26,0.686,
1,C,H,1,1656,6.958,
2,P,W,2,50,1.389,
3,D,W,3,76,2.793,
5,R,W,3,35,1.123,
4,A,W,2,66,2.668,
2,P,W,3,60,2.683,
3,D,W,4,62,3.495,
5,R,W,4,89,3.869,
2,P,W,4,29,1.872,
4,A,W,3,56,3.245,
5,R,W,5,24,0.717,
1,C,H,2,130,7.098,
2,P,W,5,68,2.714,
4,A,W,4,69,2.325,
4,A,W,5,28,0.514,
3,D,W,5,164,5.273,
1,C,H,3,332,5.085,
1,C,H,4,94,0.921,
1,C,H,5,125,1.482,
ALL,NA,NA,NA,NA,21.809,
