Id,Start,Goal,Path Num,Steps,Time,
5,5,W,1,34,5.179,
5,R,W,1,38,5.803,
3,3,W,1,488,5.538,
3,D,W,1,240,6.427,
5,5,W,2,54,0.359,
5,R,W,2,21,1.03,
3,3,W,2,14,0.11,
3,D,W,2,29,1.779,
3,3,W,3,18,0.171,
3,D,W,3,15,0.748,
3,3,W,4,25,3.291,
3,D,W,4,26,3.947,
1,1,H,1,338,9.594,
1,C,H,1,238,13.526,
3,3,W,5,13,0.125,
3,D,W,5,14,0.702,
5,5,W,3,21,2.247,
5,R,W,3,11,6.942,
4,4,W,1,436,14.805,
4,A,W,1,112,15.569,
2,2,W,1,495,14.898,
2,P,W,1,92,15.647,
2,2,W,2,13,0.328,
2,P,W,2,15,0.999,
4,4,W,2,49,0.702,
4,A,W,2,15,1.31,
2,2,W,3,14,0.0940001,
2,P,W,3,11,0.702,
4,4,W,3,12,0.0780001,
4,A,W,3,16,0.671,
4,4,W,4,12,0.156,
4,A,W,4,12,0.717,
1,1,H,2,88,2.293,
1,C,H,2,25,5.132,
2,2,W,4,24,1.295,
2,P,W,4,11,1.841,
2,2,W,5,16,0.172,
2,P,W,5,11,1.778,
4,4,W,5,29,2.293,
4,A,W,5,14,2.886,
5,5,W,4,19,6.537,
5,R,W,4,11,8.127,
5,5,W,5,67,2.667,
5,R,W,5,15,3.276,
1,1,H,3,33,9.594,
1,C,H,3,22,14.461,
1,1,H,4,23,4.337,
1,C,H,4,27,5.008,
1,1,H,5,35,0.312,
1,C,H,5,31,4.165,
ALL,NA,NA,NA,NA,42.354,
