Id,Start,Goal,Path Num,Steps,Time,
4,D,W,1,183,0.671,
2,P,W,1,284,1.092,
2,P,W,2,38,0.983,
2,P,W,3,75,2.418,
2,P,W,4,25,0.624,
3,A,W,1,1394,5.46,
3,A,W,2,47,1.498,
2,P,W,5,51,2.699,
4,D,W,2,108,7.223,
3,A,W,3,50,2.372,
1,C,H,1,2644,9.999,
5,R,W,1,2805,10.343,
3,A,W,4,31,0.952,
1,C,H,2,31,0.421,
5,R,W,2,38,0.889,
1,C,H,3,40,1.061,
1,C,H,4,44,1.326,
4,D,W,3,149,5.834,
1,C,H,5,32,1.123,
5,R,W,3,110,4.103,
3,A,W,5,159,5.288,
5,R,W,4,26,0.312,
5,R,W,5,33,0.531,
4,D,W,4,165,3.073,
4,D,W,5,34,0.359,
ALL,NA,NA,NA,NA,17.285,
