Id,Start,Goal,Path Num,Steps,Time,
3,3,W,1,278,7.228,
3,D,W,1,90,8.124,
3,3,W,2,12,0.116,
3,D,W,2,14,0.653,
3,3,W,3,55,0.401,
3,D,W,3,14,2.972,
3,3,W,4,34,0.234,
3,D,W,4,20,1.846,
3,3,W,5,14,0.107,
3,D,W,5,13,0.661,
3,3,W,6,68,0.467,
3,D,W,6,14,1.019,
3,3,W,7,29,0.212,
3,D,W,7,12,2.795,
3,3,W,8,34,0.294,
3,D,W,8,14,0.853,
3,3,W,9,26,0.241,
3,D,W,9,21,0.857,
3,3,W,10,96,0.796,
3,D,W,10,14,1.351,
5,5,W,1,277,24.296,
5,R,W,1,67,25.147,
3,3,W,11,43,4.473,
3,D,W,11,23,5.079,
3,3,W,12,32,0.442,
3,D,W,12,14,0.994,
3,3,W,13,31,0.241,
3,D,W,13,14,0.797,
3,3,W,14,30,0.228,
3,D,W,14,14,0.785,
4,4,W,1,346,28.317,
4,A,W,1,94,29.189,
4,4,W,2,49,0.328,
4,A,W,2,14,1.899,
5,5,W,2,26,4.342,
5,R,W,2,17,6.018,
2,2,W,1,358,30.378,
2,P,W,1,69,31.24,
5,5,W,3,34,0.318,
5,R,W,3,11,0.862,
5,5,W,4,13,0.0730002,
5,R,W,4,11,0.609,
4,4,W,3,12,0.157,
4,A,W,3,20,1.801,
2,2,W,2,28,0.358,
2,P,W,2,11,1.89,
4,4,W,4,12,0.199,
4,A,W,4,15,0.769,
5,5,W,5,32,0.69,
5,R,W,5,11,1.231,
3,3,W,15,122,4.78,
3,D,W,15,24,5.403,
4,4,W,5,50,0.638,
4,A,W,5,13,1.181,
2,2,W,3,21,0.298,
2,P,W,3,11,1.832,
4,4,W,6,18,0.366,
4,A,W,6,13,0.908,
5,5,W,6,14,0.307,
5,R,W,6,17,1.925,
2,2,W,4,16,0.281,
2,P,W,4,11,0.868,
5,5,W,7,17,0.417,
5,R,W,7,17,1.162,
2,2,W,5,37,0.569,
2,P,W,5,13,1.321,
5,5,W,8,14,0.0870001,
5,R,W,8,12,0.62,
2,2,W,6,16,0.222,
2,P,W,6,11,0.76,
5,5,W,9,24,0.208,
5,R,W,9,12,0.742,
4,4,W,7,12,0.075,
4,A,W,7,20,2.695,
2,2,W,7,19,0.231,
2,P,W,7,11,0.767,
5,5,W,10,26,0.309,
5,R,W,10,19,0.885,
2,2,W,8,14,0.127,
2,P,W,8,11,0.663,
5,5,W,11,16,0.108,
5,R,W,11,12,0.64,
2,2,W,9,23,0.269,
2,P,W,9,11,0.806,
5,5,W,12,16,0.0999999,
5,R,W,12,11,0.639,
2,2,W,10,45,0.437,
2,P,W,10,11,0.976,
4,4,W,8,16,0.151,
4,A,W,8,20,2.786,
5,5,W,13,14,0.082,
5,R,W,13,23,0.861,
2,2,W,11,61,0.892,
2,P,W,11,11,2.438,
5,5,W,14,61,1.032,
5,R,W,14,18,2.622,
4,4,W,9,25,0.328,
4,A,W,9,28,2.983,
3,3,W,16,47,10.187,
3,D,W,16,14,10.752,
1,1,H,1,430,44.483,
1,C,H,1,93,45.373,
3,3,W,17,22,0.196,
3,D,W,17,31,0.871,
1,1,H,2,16,0.0809999,
1,C,H,2,26,0.725,
3,3,W,18,20,0.147,
3,D,W,18,14,0.693,
5,5,W,15,24,2.34,
5,R,W,15,10,2.888,
3,3,W,19,20,0.488,
3,D,W,19,14,1.042,
5,5,W,16,13,0.227,
5,R,W,16,16,0.812,
1,1,H,3,11,0.063,
1,C,H,3,37,1.917,
5,5,W,17,14,0.0899999,
5,R,W,17,18,0.677,
1,1,H,4,12,0.056,
1,C,H,4,13,0.607,
2,2,W,12,51,6.659,
2,P,W,12,17,7.267,
2,2,W,13,15,0.13,
2,P,W,13,22,1.741,
2,2,W,14,14,0.166,
2,P,W,14,11,0.701,
5,5,W,18,57,4.682,
5,R,W,18,10,5.231,
1,1,H,5,13,0.04,
1,C,H,5,41,5.973,
1,1,H,6,12,0.0439999,
1,C,H,6,17,0.726,
3,3,W,20,141,6.489,
3,D,W,20,14,8.06,
2,2,W,15,25,3.317,
2,P,W,15,11,3.854,
1,1,H,7,11,0.0630002,
1,C,H,7,33,2.868,
5,5,W,19,16,0.178,
5,R,W,19,38,5.071,
1,1,H,8,12,0.0839999,
1,C,H,8,25,0.935,
2,2,W,16,32,0.602,
2,P,W,16,11,2.145,
4,4,W,10,128,15.834,
4,A,W,10,29,17.559,
4,4,W,11,16,0.137,
4,A,W,11,13,0.689,
5,5,W,20,34,2.297,
5,R,W,20,35,4.2,
4,4,W,12,12,0.114,
4,A,W,12,12,0.661,
1,1,H,9,11,0.116,
1,C,H,9,61,6.262,
2,2,W,17,71,4.708,
2,P,W,17,11,6.255,
2,2,W,18,49,0.406,
2,P,W,18,11,1.079,
4,4,W,13,23,3.266,
4,A,W,13,12,3.813,
1,1,H,10,19,0.0670002,
1,C,H,10,41,2.015,
4,4,W,14,32,0.487,
4,A,W,14,13,3.056,
1,1,H,11,35,0.238,
1,C,H,11,21,2.915,
2,2,W,19,39,4.362,
2,P,W,19,11,4.922,
1,1,H,12,12,0.0740001,
1,C,H,12,19,1.73,
4,4,W,15,79,4.108,
4,A,W,15,13,4.66,
4,4,W,16,18,0.254,
4,A,W,16,15,1.851,
1,1,H,13,61,7.27,
1,C,H,13,17,7.904,
4,4,W,17,77,3.058,
4,A,W,17,13,3.612,
2,2,W,20,59,8.183,
2,P,W,20,11,9.738,
1,1,H,14,17,0.317,
1,C,H,14,20,3.023,
4,4,W,18,23,3.267,
4,A,W,18,13,4.855,
4,4,W,19,12,0.14,
4,A,W,19,13,0.691,
4,4,W,20,24,0.213,
4,A,W,20,17,0.852,
