Id,Start,Goal,Path Num,Steps,Time,
4,A,W,1,155,0.499,
3,D,W,1,489,1.872,
1,C,H,1,632,2.402,
3,D,W,2,25,0.468,
4,A,W,2,57,2.138,
3,D,W,3,38,1.388,
1,C,H,2,54,1.81,
3,D,W,4,33,0.874,
3,D,W,5,27,0.687,
4,A,W,3,70,3.229,
5,R,W,1,1768,6.505,
2,P,W,1,1799,6.583,
4,A,W,4,39,1.311,
5,R,W,2,46,1.482,
2,P,W,2,54,1.529,
5,R,W,3,36,1.607,
5,R,W,4,43,1.279,
1,C,H,3,178,8.393,
2,P,W,3,147,6.022,
5,R,W,5,67,4.118,
4,A,W,5,216,8.611,
2,P,W,4,55,1.716,
2,P,W,5,61,1.014,
1,C,H,4,218,5.475,
1,C,H,5,141,1.669,
ALL,NA,NA,NA,NA,19.921,
