Id,Start,Goal,Path Num,Steps,Time,
5,R,W,1,1599,7.191,
1,D,W,1,1599,7.207,
3,P,W,1,1599,7.192,
4,C,W,1,1599,7.223,
2,A,W,1,1599,7.223,
3,3,W,1,1599,6.053,
2,2,W,1,1599,6.069,
5,5,W,1,1599,6.068,
1,1,W,1,1599,6.084,
4,4,W,1,1599,4.571,
5,5,W,1,114,0.109,
5,5,W,1,19,6.739,
5,R,W,1,34,14.539,
4,4,W,1,83,0.0619998,
4,4,W,1,15,5.179,
4,C,W,1,53,15.007,
1,1,W,1,79,0.063,
1,1,W,1,5,7.706,
1,D,W,1,41,15.506,
2,2,W,1,16,0.0309999,
2,2,W,1,47,19.032,
2,A,W,1,6,26.801,
3,3,W,1,280,0.515,
3,3,W,1,109,21.669,
3,P,W,1,14,29.453,
1,1,W,2,388,7.972,
1,1,W,2,19,9.828,
1,D,W,2,111,16.287,
1,1,W,3,15,0.25,
1,1,W,3,26,2.262,
1,D,W,3,41,4.54,
5,5,W,2,17,0.39,
5,5,W,2,38,22.76,
5,R,W,2,48,26.551,
4,4,W,2,271,5.491,
4,4,W,2,98,28.158,
4,C,W,2,149,34.507,
1,1,W,4,40,0.749,
1,1,W,4,8,1.373,
1,D,W,4,476,14.851,
1,1,W,5,123,1.981,
1,1,W,5,19,7.847,
1,D,W,5,33,9.797,
5,5,W,3,17,0.359,
5,5,W,3,45,21.403,
5,R,W,3,171,29.219,
4,4,W,3,17,0.374,
4,4,W,3,22,16.021,
4,C,W,3,319,22.605,
5,5,W,4,56,1.014,
5,5,W,4,15,8.143,
5,R,W,4,358,18.33,
2,2,W,2,66,1.139,
2,2,W,2,201,71.027,
2,A,W,2,71,74.21,
4,4,W,4,19,0.343,
4,4,W,4,47,30.966,
4,C,W,4,173,38.283,
5,5,W,5,148,2.839,
5,5,W,5,62,23.088,
5,R,W,5,170,26.052,
4,4,W,5,28,0.468,
4,4,W,5,21,8.627,
4,C,W,5,237,13.369,
3,3,W,2,80,1.357,
3,3,W,2,595,101.276,
3,P,W,2,21,102.149,
2,2,W,3,21,0.296,
2,2,W,3,417,130.853,
2,A,W,3,178,133.895,
3,3,W,3,15,0.281,
3,3,W,3,505,115.191,
3,P,W,3,168,117.812,
2,2,W,4,245,4.555,
2,2,W,4,515,108.295,
2,A,W,4,53,109.7,
3,3,W,4,15,0.265,
3,3,W,4,574,174.58,
3,P,W,4,73,176.015,
2,2,W,5,209,5.21,
2,2,W,5,423,158.762,
2,A,W,5,350,164.455,
3,3,W,5,72,3.214,
3,3,W,5,541,78.859,
3,P,W,5,344,83.804,
ALL,NA,NA,NA,NA,509.294,
