Id,Start,Goal,Path Num,Steps,Time,
5,5,W,1,107,17.581,
5,5,W,1,28,20.186,
5,5,W,1,151,29.078,
5,R,W,1,121,30.904,
1,1,W,1,35,2.106,
1,1,W,1,94,9.891,
1,1,W,1,169,34.257,
1,A,W,1,42,34.928,
2,2,W,1,60,13.416,
2,2,W,1,50,20.155,
2,2,W,1,199,35.272,
2,D,W,1,56,37.034,
4,4,H,1,25,2.091,
4,4,H,1,91,12.995,
4,4,H,1,233,37.44,
4,C,H,1,60,38.189,
3,3,W,1,69,13.416,
3,3,W,1,83,36.722,
3,3,W,1,60,43.508,
3,P,W,1,49,44.226,
5,5,W,2,19,8.565,
5,5,W,2,7,9.157,
5,5,W,2,17,16.068,
5,R,W,2,30,17.128,
1,1,W,2,17,2.246,
1,1,W,2,12,7.035,
1,1,W,2,34,22.682,
1,A,W,2,6,23.276,
4,4,H,2,6,0.046,
4,4,H,2,46,17.628,
4,4,H,2,47,40.124,
4,C,H,2,99,42.167,
1,1,W,3,6,0.0780001,
1,1,W,3,10,7.004,
1,1,W,3,37,28.907,
1,A,W,3,6,32.604,
3,3,W,2,20,0.25,
3,3,W,2,23,4.196,
3,3,W,2,76,47.876,
3,P,W,2,5,48.438,
4,4,H,3,15,2.278,
4,4,H,3,7,2.886,
4,4,H,3,24,19.609,
4,C,H,3,33,20.499,
2,2,W,2,24,2.464,
2,2,W,2,6,3.042,
2,2,W,2,99,63.945,
2,D,W,2,6,64.507,
3,3,W,3,72,25.99,
3,3,W,3,21,36.083,
3,3,W,3,6,36.66,
3,P,W,3,5,37.222,
5,5,W,3,31,12.963,
5,5,W,3,14,13.603,
5,5,W,3,117,81.417,
5,R,W,3,8,82.057,
1,1,W,4,30,8.721,
1,1,W,4,121,42.916,
1,1,W,4,16,55.177,
1,A,W,4,90,57.096,
5,5,W,4,16,0.218,
5,5,W,4,15,8.315,
5,5,W,4,20,19.656,
5,R,W,4,8,20.28,
4,4,H,4,42,15.101,
4,4,H,4,83,56.3,
4,4,H,4,6,56.925,
4,C,H,4,68,59.717,
5,5,W,5,7,0.125,
5,5,W,5,45,20.873,
5,5,W,5,10,23.914,
5,R,W,5,4,24.476,
1,1,W,5,10,0.11,
1,1,W,5,19,2.995,
1,1,W,5,25,26.926,
1,A,W,5,30,27.861,
4,4,H,5,21,3.292,
4,4,H,5,46,19.063,
4,4,H,5,9,19.734,
4,C,H,5,16,21.575,
3,3,W,4,22,0.358,
3,3,W,4,66,38.938,
3,3,W,4,239,197.449,
3,P,W,4,5,198.058,
3,3,W,5,30,9.859,
3,3,W,5,50,23.291,
3,3,W,5,30,47.081,
3,P,W,5,5,47.674,
2,2,W,3,5,0.0780001,
2,2,W,3,46,22.199,
2,2,W,3,496,359.674,
2,D,W,3,6,360.267,
2,2,W,4,6,0.0780001,
2,2,W,4,68,26.161,
2,2,W,4,51,47.065,
2,D,W,4,6,47.689,
2,2,W,5,15,4.336,
2,2,W,5,23,14.555,
2,2,W,5,33,23.805,
2,D,W,5,6,24.414,
ALL,NA,NA,NA,NA,533.989,
