Id,Start,Goal,Path Num,Steps,Time,
2,P,W,1,601,1.935,
2,P,W,2,52,1.638,
4,A,W,1,1120,3.666,
1,C,H,1,1231,3.978,
5,R,W,1,1395,4.618,
2,P,W,3,41,1.466,
5,R,W,2,30,0.951,
4,A,W,2,65,2.277,
5,R,W,3,51,1.685,
4,A,W,3,50,1.358,
1,C,H,2,180,3.588,
5,R,W,4,23,0.468,
3,D,W,1,2340,7.91,
2,P,W,4,58,2.824,
3,D,W,2,26,0.375,
3,D,W,3,25,0.577,
3,D,W,4,26,0.483,
3,D,W,5,31,0.749,
2,P,W,5,64,2.59,
5,R,W,5,50,2.933,
1,C,H,3,71,3.182,
4,A,W,4,144,3.807,
4,A,W,5,42,0.483,
1,C,H,4,206,2.558,
1,C,H,5,204,2.481,
ALL,NA,NA,NA,NA,16.037,
